CKG_NM,CKG_MTRL_CN
Banh Mi Bo Kho (Vietnamese Beef Stew),"무염버터, 등심, 노란양파, 할라피뇨, 스타아니스, 시나몬스틱, 황설탕, 저염육수, 당근, 소금, 바게트"
Vegan Bún Chay (Vietnamese Noodle Salad),"쌀 식초, 라임 주스, 코코넛 설탕, 버섯 간장, 레몬그라스, 마늘, 고추, 마기, 물, 쌀국수, 당근, 피망, 영국 오이, 고수 줄기, 타이 바질 잎, 민트 잎, 땅콩, 라임 웨지, 땅콩 기름, 단단한 두부, 버섯 간장, 참기름, 코코넛 슈가"
Vietnamese Pork Ribs,"돼지갈비, 쪽파, 마늘, 액젓, 설탕, 소금, 백후추, 물, 캐러멜소스, 설탕, 액젓, 물"
Vietnamese Caramelized Pork Belly Pasta,"설탕, 삼겹살, 물, 액젓, 샬롯, 양파, 후추, 스파게티, 익혀 물기를 뺀 파"
Vietnamese Coleslaw,"양배추, 파, 중간 당근, 고수, 타이 바질, 붉은 고추, 캐슈넛, 마늘 정향, 생강, 막걸리 식초, 레몬 주스, 액젓, 흰 설탕"
Vietnamese Grilled Chicken with Rice Vermicelli Noodles,"생라임즙, 액젓, 마늘, 칠리갈릭소스, 설탕, 카놀라유, 뼈없는 닭다리살, 물, 설탕, 칠리갈릭소스, 다진마늘, 액젓, 백식초, 생라임즙, 당근채, 오이, 양상추 , 고수 잎, 민트 잎, 쌀 당면"
Fresh Vietnamese Spring Rolls,"중간 새우, 당면, 큰 당근, 페르시안 오이, 빨간 피망, 민트 잎, 버터 레터스, 라이스 페이퍼, 따뜻한 물, 크리미 피넛버터, 여과수, 쌀식초, 간장, 메이플 시럽, 구운 참기름, 따뜻한 물 , 설탕, 생선 소스, 라임 주스, 고추, 정향, 해선장 소스, 여과수"
Vietnamese Yogurt,"가당 연유, 뜨거운 물, 전유, 하프 앤 하프, 그릭 요거트"
Vietnamese Baguette Recipe (Banh Mi Tay),"활성 드라이 이스트, 미지근한 물, 다용도 표백하지 않은 밀가루, 소금, 설탕"
Vietnamese Style Spring Rolls,"새우, 쌀국수, 소금, 후추, 참기름, 밥, 타이바질, 로메인상추잎, 당근, 오이, 갈릭칠리소스, 라임즙, 설탕, 간장, 참기름"
Sparkling Vietnamese Limeade,"알갱이 설탕, 뜨거운 물, 신선한 민트, 라임, 바다 소금, 탄산수"
Vietnamese Pork Sandwich Recipe Banh Mi,"돼지등심, 올리브유, 다진노란양파, 생강, 다진마늘, 피클링액, 물, 치킨베이스, 피시소스, 호이신소스, 소금, 후추, 마요네즈, 고수, 할라피뇨, 야채슬로, 바게트"
Vietnamese Style Chicken Wings,"물, 설탕, 생선 소스, 물, 라임 주스, 칠리 소스, 마늘, 닭 날개"
Vietnamese Lemongrass Pork Bowl,"다진 돼지 고기, 레몬 그라스 줄기, 식물성 기름, 작은 양파, 고추, 마늘 정향, 황설탕, 생선 소스, 진한 간장, 옥수수 가루, 간 후추, 고추, 다진 고수, 찐 쌀"
Vietnamese Dipping Sauce (Nước Mắm),"물, 설탕, 식초, 생선 소스, 라임, 마늘, 칠리"
Vietnamese-Style Summer Rolls with Dipping Sauce,"생라임즙, 쌀식초, 간장, 설탕, 칠리, 말린 표고버섯, 쌀국수, 버터상추잎, 채 썬 당근, 파, 고수 잎, 생 민트 잎, 중간 크기의 새우, 라이스 페이퍼"
Vietnamese Crepe,"닭다리살, 올리브유, 당근, 다진양파, 쌀가루, 강황, 물, 간장, 간장, 호이신소스, 칠리소스"
Vietnamese Crepes,"새우, 폭찹, 액젓, 겨자잎, 허브, 파, 옥수수, 쌀가루, 파, 사프란, 코코넛 밀크, 물, 액젓, 라임 주스, 물, 설탕, 말린 고추, 마늘 정향, 막걸리 식초"
Vietnamese Sizzling Crepes,"코코넛 밀크, 쌀가루, 물, 강황 가루, 식물성 기름, 중간 새우, 콩나물, 파, 다진 고수"
Vietnamese Slaw,"채 썬 양배추, 간 당근, 민트잎, 땅콩, 적양파, 라임, 액젓, 설탕, 삶은 계란"
Easy Vegan Vietnamese Curry,"기름, 마늘, 샬롯, 레몬그라스 줄기, 생강, 사테 페이스트, 튀긴 두부, 버섯, 간장, 당근, 타로, 브로콜리, 가지, 전지 코코넛 밀크, 물, 코코넛 설탕, 소금, 강황, 간 고수풀, 아니스, 라임 주스, 신선한 민트, 고수, 고추, 계피, 정향"
Vietnamese Bologna,"돼지고기 목살, 등심, 각얼음, 종려당, 소금, 마늘가루, 흑후추, 염지, 태국새고추, 바나나잎"
Vietnamese Noodles,"두부, 당면, 빨간 피망, 오이, 적양배추, 채 썬 당근, 파, 고수, 크리미 피넛버터, 쌀식초, 메이플 시럽, 물, 간장, 레몬그라스, 다진 생강, 마늘, 라임 웨지, 고수, 아시아 마늘 칠리 소스, 소금에 절인 땅콩"
Traditional Vietnamese Pho,"소 등심, 소꼬리, 쇠고기 정강이, 고수 씨앗, 회향 씨앗, 카다멈 씨앗, 팔각, 계피 스틱, 무, 노란 양파, 생강, 액젓, 국수, 콩나물, 파, 고수, 타이 바질, 할라피뇨 고추"
Vietnamese Tuna Burger,"양념쌀식초, 참기름, 흑설탕, 적양배추, 채썬당근, 브로콜리슬로, 다진고수, 다진신선한민트, 액젓, 순간장, 참치스테이크, 파, 판코빵가루, 햄버거빵"
One–pot Vietnamese Beef Stew,"쇠고기 정강이, 일반 밀가루, 중국 오향 가루, 갈은 후추, 레몬 그라스 줄기, 큰 마늘 정향, 간장, 종려당, 샬롯, 풋고추, 토마토, 토마토 페이스트, 당근, 계피 스틱, 스타 아니스, 카피르 라임 잎, 비프스톡, 단호박, 유채씨유, 바질잎"
Vietnamese Nachos,"갈은 쇠고기, 고춧가루, 소금, 후추, 액젓, 흑설탕, 채 썬 양배추, 할라피뇨, 고수, 마늘, 간장, 액젓, 흑설탕, 라임, 칩, 라임, Sriracha"
Vietnamese Bun Ga Xao,"쌀국수, 닭다리살, 파, 마늘, 상추잎, 잎, 타이바질잎, 채썬 당근, 스리라차칠리소스, 구운땅콩, 양파후레이크, 올리브오일, 콩나물, 피시소스"
Vietnamese Chicken And Noodle Salad,"카피르 라임 잎, 껍질을 벗긴 닭 가슴살 필레, 당면, 빨간 고추, 큰 당근, 완두콩, 배추, 파, 콩나물, 민트 잎, 고수 잎, 무염 땅콩, 스위트 칠리 소스, 액젓, 라임 주스, 참깨 기름, 큰 마늘 정향"
VIETNAMESE PHO NOODLES,"쇠고기 등심, 국수, 라임, 할라피뇨 고추, 콩나물, 민트, 양파, 생강, 골수, 소금, 설탕, 계피 스틱, 고수 씨앗, 회향 씨앗, 스타아니스, 카르다몬, 정향, 액젓, 물"
Vietnamese Cauliflower,"콜리플라워, 카놀라유, 샬롯, 마늘, 간장, 토마토, 작은 양파, 채소 육수, 레몬즙, 설탕, 파, 다진 고수"
Vietnamese Dressing,"신선한 생강, 그래뉴당, 마늘, 신선한 고수, 신선한 라임 주스, 쌀 식초, 아시안 피쉬 소스, 참깨, 꿀, 구운 땅콩"
Vietnamese Pizza,"마늘 정향, 아보카도 오일, 신선한 표고버섯, 굵은 천일염, 코코넛 아미노, 큰 계란, 파, 라이스 페이퍼, 케첩, 큐피 마요, 스리라차, 마이크로그린, 라임 웨지"
Healthy Vietnamese Rice Paper Rolls,"라이스페이퍼, 쌀국수, 닭가슴살, 구운땅콩, 민트잎, 굴소스, 상추잎, 당근, 오이"
Vietnamese Dipping Sauce (Nuoc Cham),"설탕, 따뜻한 물, 액젓, 백식초, 라임, 마늘, 타이 칠리 페퍼"
Vietnamese Duck Noodle Soup,"오리다리, 생강, 막걸리, 오향분말, 진간장, 다진 쪽파, 다진 마늘, 물, 대추야자, 구기자, 말린 표고버섯, 스타아니스, 카다몬 꼬투리, 고수씨, 간장, 진간장, 굴 소스, 마늘 정향, 샬롯, 생강, 양파, 설탕, 밀, 국수, 야채, 얇게 썬 파, 고수"
Vietnamese Tomato Rice,"흰쌀밥, 땅콩기름, 계란, 양파, 마늘, 토마토주스, 설탕, 토마토페이스트, 간장, 파, 갓 간 후추, 소금"
How to Make Vietnamese Coffee,"커피, 커피, 가당 연유"
Vietnamese Vermicelli Bowl,"닭고기, 레몬그라스, 양파, 마늘 정향, 코셔 소금, 설탕, 중국 오향, 기름, 당면, 빨간 피망, 잉글리시 오이, 무, 신선한 바질, 신선한 라임 주스, 액젓, 물, 설탕, 빨강 칠레"
Vietnamese Egg Soda (Soda Sữa Hột Gà),"가당 연유, 달걀 노른자, 클럽 소다, 얼음"
Vietnamese Egg Coffee,"커피, 달걀 노른자, 헤비 크림, 에리스리톨, 바닐라 추출물"
Vietnamese Herb Salad,"라임 주스, 설탕, 베트남 피쉬 소스, 칠레, 칠레, 신선한 민트 잎, 느슨하게 포장된 신선한 바질 잎, 다진 신선한 딜, 평평한 잎 파슬리 잎, 고수 잎, 적 양파, 셀러리, 구운 캐슈"
Vietnamese Caramelized Pork Bowls,"다진 돼지고기, 중성 기름, 다진 생강, 다진 마늘, 홍고추, 얇게 썬 샬롯, 흑설탕, 베트남 피쉬 소스, 라임, 라임, 파, 소금, 후추"
Vietnamese Zoodle Salad,"신선한 라임 주스, 생선 소스, 설탕, 애호박, 중간 크기 당근, 땅콩, 적양파, 신선한 바질 잎, 신선한 고수, 신선한 민트, 스리라차 소스"
Traditional Vietnamese Spring Rolls,"로스트아이, 마늘, 굴소스, 참기름, 후추, 코코넛오일, 새우, 흰양파, 막국수, 올리브오일, 라이스페이퍼, 상추, 오이, 고수, 식초, 설탕, 액젓, 따뜻한 물 , 칠리 마늘 소스"
Bo Kho Vietnamese Beef Stew,"소 정강이, 소 힘줄, 레몬그라스, 월계수 잎, 스타아니스 씨앗, 소고기 육수, 당근, 기름, 생강, 샬롯, 마늘, 레몬그라스, 파프리카, 액젓, 계피, 정향, 간 후추, 고춧가루, 설탕, 바게트, 타이 바질, 양파, 웨지 라임, 다진 실란트로, 파, 할라피뇨, 당면"
Vietnamese Pork Meatballs,"쌀국수, 미트볼, 다진 돼지고기, 오향분말, 코셔 소금, 액젓, 샬롯, 마늘 정향, 후추, 고수, 민트, 적상추, 타이 바질, 육수, 액젓, 물, 라임 주스, 흑설탕, 쌀식초, 콜라비"
Vietnamese Salmon Salad,"식물성 기름, 연어 필레, 물냉이, 붉은 고추, 박하 잎, 차조기 잎, 볶은 땅콩, 튀긴 샬롯, 천일염, 생선 소스, 백식초, 설탕, 라임 주스, 마늘 정향, 큰 당근, 무, 설탕, 식초, 천일염"
Vietnamese Pickled Vegetables,"쌀식초, 따뜻한 물, 꿀, 소금, 채 썬 당근, 무, 페르시안 오이"
Grilled Vietnamese Pork,"돼지고기, 레몬그라스, 액젓, 간장, 설탕, 마늘, 파"
Vietnamese Prawn Salad,"쌀 당면, 양념 쌀 식초, 캐스터 설탕, 큰 마늘 정향, 붉은 고추, 생선 소스, 라임, 오이, 민트, 고수, 왕새우, 캐슈넛"
Vietnamese Bánh Mì Sandwich,"구운 바게트, 뼈없는 돼지 등심, 소금, 후추, 올리브 오일, 간장, 중국 오향, 액젓, 마늘 정향, 당근, 무, 설탕, 소금, 따뜻한 물, 증류수 백 식초, 오이, 마요네즈, 신선한 민트, 신선한 고수, 할라피뇨, Sriracha"
Steamed Vietnamese Rolls,"카놀라유, 마늘, 샬롯, 작은 당근, 타이 칠리 페퍼, 파, 신선한 생강, 소금, 후추, 갈은 칠면조, 새우, 완탕, 콩나물, 신선한 바질, 디핑 소스, 스위트 칠리 소스, 삼발 올렉, 와인, 신선한 생강, 신선한 라임 주스, 간장, 신선한 바질"
Vietnamese Chicken Sandwich With Pickled Vegetables (Bánh Mì),"물, 쌀식초, 그래뉴당, 소금, 무, 당근, 오이, 뼈없는 닭가슴살, 마늘, 액젓, 저나트륨 간장, 설탕, 마요네즈, 라임 제스트, 스리라차, 바게트, 할라피뇨, 고수 잎"
Grilled Vietnamese Prawn,"새우, 샬롯, 다진 마늘, 다진 생강, 액젓, 꿀, 간장, 레몬, 레몬그라스, 엑스트라 버진 올리브 오일, 레드 칠리 플레이크, 소금, 후추, 물"
Vietnamese Salad Rolls,"스테이크, 쌀국수, 라이스 페이퍼, 잉글리시 오이, 버터 레터스, 타이 바질, 고수, 민트, 물, 피시 소스, 라임 주스, 설탕, 쌀식초, 고추"
Vietnamese Pork Mince,"다진 돼지고기, 다진 마늘, 레몬그라스, 양파, 파, 소금, 치킨 부용 가루, 설탕, 액젓, 설탕, 식용유, 다진 돼지 고기, 마늘 정향, 레몬그라스, 다진 양파, 파, 소금, 치킨 부용 가루, 설탕 , 액젓, 설탕, 식용유"
Vietnamese Tomato Salad,"설탕, 생선 소스, 신선한 라임 주스, 회향 전구, 커비 오이, 녹색 피망, 씨앗, 작은 샬롯, 에어룸 토마토, 허브, 갓 갈은 검은 후추, 소금에 절인 건조 구운 땅콩, 튀긴 샬롯"
Vietnamese Curry Powder,"월계수 잎, 정향, 고수 씨앗, 커민 씨앗, 회향 씨앗, 스타아니스, 아나토 가루, 고춧가루, 마늘 가루, 육두구 가루, 계피, 심황"
Vietnamese Flank Steak,"생선 소스, 간장, 라임, 흑설탕, 마늘, 신선한 생강, 할라피뇨, 옆구리 스테이크"
Vietnamese Pork Noodle Soup,"돼지고기 필레, 라임즙, 간장, 파프리카, 액젓, 라면, 마늘기름, 파, 생강, 치킨스톡, 콩나물, 청경채, 홍고추"
Vietnamese Salad Dressing,"여과수, 생선 소스, 쌀 식초, 라임 주스, 코코넛 야자 설탕, 마늘, 세라노 칠레"
Vietnamese Banh Mi Pork,"흑설탕, 쌀식초, 간장, 액젓, 레몬그라스, 생강, 마늘, 물, 돼지목살"
Vietnamese-Style Beef Pho,"신선한 생강 뿌리, 올리브 오일, 다진 마늘, 노란 양파, 무염 우육수, 물, 중국 오향, 계피 가루, 오리엔탈 라면, 뉴욕 스트립 스테이크, 라임, 신선한 바질, 신선한 고수, 파, 콩나물 , 중화오향, 다진마늘, 생바질, 콩나물, 생고수, 생생강뿌리, 라임, 뉴욕스트립스테이크, 라면, 피노누아, 황양파, 대파, 무염육수"
Vietnamese Lettuce wraps,"버터 상추, 아보카도, 익힌 닭고기, 무, 성냥개비 당근, 오이, 파, 신선한 민트 잎, 땅콩, 라임 주스, 설탕, 생선 소스, 물, Sriracha"
Vietnamese Restaurant-style Grilled Lemongrass Pork (Thit Heo Nuong Xa),"연갈색 설탕, 다진 마늘, 샬롯, 레몬그라스, 후추, 간장, 액젓, 기름"
Spiralized Vietnamese Kohlrabi Salad,"콜라비, 당근, 파, 고수, 바질, 민트, 막걸리 식초, 라임 주스, 마늘, 칠리 플레이크, 아보카도 오일, 액젓, 꿀, 코셔 소금"
Vietnamese Barbecue Beef,"뜨거운 물, 백설탕, 갓 짜낸 라임 주스, 베트남 액젓, 채 썬 당근, 다진 마늘, 새눈 칠리, 베트남 액젓, 설탕, 물, 다진 마늘, 갓 갈은 후추, 옆구리 스테이크, 식물성 기름, 다진 마늘, 잘게 다진 생강, 흰쌀밥, 쪽파"
Vietnamese Beef Soup,"쇠고기 육수, 다진 마늘, 생강, 계피 스틱, 팔각, 액젓, 간장, 황설탕, 쌀국수, 쇠고기, 고수, 베트남 민트, 콩나물, 붉은 고추, 파"
Phở Gà (Vietnamese Chicken Noodles Soup),"사이공 계피, 팔각, 양파, 생강, 통닭, 냉수, 소금, 암설탕, 종려당, 황설탕, 액젓, 식용유, 샬롯, 쌀국수, 파, 고수, 칠리, 라임, 콩나물, 태국식 바질, 쿨란트로, 호이신 소스, 스리라차, 삼발"
Vietnamese Pork Skewers,"다진 돼지고기, 생선 소스, 설탕, 세라노 칠레, 파, 마늘, 코코넛 오일, 물, 버터 레터스, 무, 신선한 민트 잎, 신선한 고수, 라임 조각, 디핑 소스, 라임 주스, 구운 참기름, 흑설탕, 간장 , 신선한 생강 뿌리, 붉은 고추, 마늘"
Vietnamese noodle soup,"쌀국수, 소고기 육수, 레몬그라스, 마늘 정향, 생강, 붉은 고추, 버섯, 액젓, 콩나물, 고수 잎"
Vietnamese One-Pan Caramel Chicken,"닭다리살 껍질, 식물성 기름, 흑설탕, 액젓, 마늘 정향, 코코넛 워터, 간 후추, 붉은 고추, 다진 고수풀, 얇게 썬 오이, 찐 밥, 소금"
Vietnamese Shrimp Pho,"사골, 소꼬리, 냉수, 마늘, 양파, 생강, 스타아니스, 시나몬 스틱, 정향, 올스파이스 베리, 통후추, 액젓, 흑설탕, 코셔 소금, 큰 새우, 국수, 녹두 콩나물, 라임 웨지, 할라피뇨, 고수 잎, 타이 바질 잎, 민트 잎, 얇게 썬 파, 생선 소스, 스리라차 소스"
Vietnamese Chicken Rolls,"로스트, 큰 당근, 적양파, 붉은 고추, 마늘 정향, 백식초, 설탕, 소금, 파슬리, 라임 주스, 오향, 마요네즈, 크러스티 롤, 마기, 소스, 무염 볶은 땅콩"
Vietnamese Spring Roll,"다진 돼지고기, 새우, 말린 목이버섯, 채 썬 당근, 타로 뿌리, 작은 양파, 마늘, 샬롯, 설탕, 액젓, 소금, 후추, 스프링롤 포장지"
Vietnamese Steak Sandwich,"액젓, 라임즙, 황설탕, 갓 간 후추, 옆구리살 스테이크, 카놀라유, 저지방 마요네즈, 바게트, 작은 당근, 오이, 무, 파, 다진 생고수"
Vietnamese Caramel Spare Ribs,"샬롯, 마늘, 다진 생강, 스리라차 핫 칠리 소스, 액젓, 간장, 포장 황설탕, 후추, 포장 흑설탕, 물, 생 라임 주스, 차가운 버터, 밥"
Vietnamese Coffee Affogato,"가당 연유, 헤비 크림, 분쇄 커피, 물"
Vietnamese Pork Rice Bowl,"돼지고기 안심, 밥, 샬롯, 마늘, 액젓, 간장, 설탕, 간장, 후추, 식물성 기름, 물, 설탕, 라임 주스, 액젓, 다진 마늘, 태국 고추, 당근, 무, 파, 고수 , 땅콩"
